# Werte #Abstand
1.1 1e-8
1.2 1e-8
1.5 1e-8
2.5 1e-8
4.2 1e-8
5.5 1e-8
5.5 1e-8
0.55 1e-7
0.9 1e-7
1.5 1e-7
1.8 1e-7
1.7 1e-7
1.5 1e-7
2.0 1e-7
3.2 1e-7
4.2 1e-7
4.0 1e-7
3.2 1e-7
3.7 1e-7
5.7 1e-7
7.3 1e-7
7.0 1e-7
0.55 1e-6
0.55 1e-6
0.75 1e-6
1.05 1e-6
1.00 1e-6
0.75 1e-6
0.7 1e-6
0.9 1e-6
1.25 1e-6
1.25 1e-6
0.9 1e-6
0.75 1e-6
0.95 1e-6
1.3 1e-6
1.3 1e-6
1.0 1e-6
0.75 1e-6
0.85 1e-6
1.15 1e-6
1.20 1e-6
0.90 1e-6
6.5 1e-7
6.8 1e-7
9.0 1e-7
9.6 1e-7
7.4 1e-7
4.9 1e-7
4.6 1e-7
5.8 1e-7
6.4 1e-7
5.0 1e-7
3.1 1e-7
2.5 1e-7
3.0 1e-7
3.4 1e-7
2.6 1e-7
2.6 1e-7
1.0 1e-7
1.1 1e-7
1.2 1e-7
1.1 1e-7
0.6 1e-7
3.3 1e-8
2.6 1e-8
2.8 1e-8
2.5 1e-8
1.5 1e-8
7.4 1e-9
4.4 1e-9
4.4 1e-9
5.0 1e-9
6.3 1e-9
9.5 1e-9
1.4 1e-10
1.7 1e-10
1.65 1e-10
1.5 1e-10
1.8 1e-10
2.6 1e-10
