# Angle, Current
-1.616238562899521836e-02 1.199000000000000082e-07
-1.562372862047682956e-02 1.199000000000000082e-07
-1.508506254457628315e-02 1.248999999999999868e-07
-1.454638771367227149e-02 1.099000000000000113e-07
-1.400770444017394867e-02 9.390000000000001364e-08
-1.346901303651987583e-02 7.490000000000001556e-08
-1.293031381517691612e-02 5.590000000000000425e-08
-1.239160708863914009e-02 4.390000000000000267e-08
-1.185289316942676578e-02 3.989999999999999994e-08
-1.131417237008504502e-02 4.990000000000000346e-08
-1.077544500318319137e-02 2.239999999999999875e-08
-1.023671138131329247e-02 3.889999999999999760e-08
-9.697971817089204999e-03 6.440000000000000757e-08
-9.159226623145491283e-03 7.490000000000000233e-08
-8.620476112136321242e-03 1.198999999999999818e-07
-8.081720596734369086e-03 1.798999999999999632e-07
-7.542960389629750802e-03 2.098999999999999671e-07
-7.004195803528918268e-03 3.148999999999999412e-07
-6.465427151153575920e-03 1.199899999999999938e-06
-5.926654745239593944e-03 1.399899999999999929e-06
-5.387878898535908463e-03 1.799899999999999911e-06
-4.849099923803450347e-03 2.199900000000000316e-06
-4.310318133814042794e-03 2.499899999999999985e-06
-3.771533841349309756e-03 2.799900000000000078e-06
-3.232747359199600844e-03 3.199900000000000059e-06
-2.693959000162888476e-03 3.399899999999999839e-06
-2.155169077043684548e-03 3.899899999999999710e-06
-1.616377902651950369e-03 3.999899999999999600e-06
-1.077585789802001839e-03 4.199899999999999379e-06
-5.387930513114300157e-04 4.299899999999999269e-06
0.000000000000000000e+00 4.399900000000000005e-06
5.580356563609003293e-04 4.299899999999999269e-06
1.116070965173176230e-03 4.199899999999999379e-06
1.674105578889502040e-03 4.099899999999999489e-06
2.232139149965149411e-03 3.799900000000000244e-06
2.790171330859285859e-03 3.599900000000000041e-06
3.348201774036275481e-03 3.299899999999999949e-06
3.906230131966972625e-03 2.999900000000000280e-06
4.464256057130026184e-03 2.599899999999999875e-06
5.022279202013174570e-03 2.399900000000000096e-06
5.580299219114545455e-03 1.999900000000000114e-06
6.138315760943952905e-03 1.699899999999999810e-06
6.696328480024198865e-03 1.399899999999999929e-06
7.254337028892362919e-03 1.099900000000000049e-06
7.812341060101112879e-03 8.998999999999999518e-07
8.370340226219991075e-03 6.998999999999999608e-07
8.928334179836716275e-03 5.599000000000000307e-07
9.486322573558485585e-03 3.998999999999999744e-07
1.004430506001326509e-02 2.598999999999999913e-07
1.060228129185108829e-02 1.598999999999999958e-07
1.116025092174535542e-02 2.989999999999999642e-08
1.171821360239412926e-02 1.489999999999999942e-08
1.227616898652142928e-02 2.490000000000000128e-08
1.283411672687853264e-02 1.390000000000000204e-08
1.339205647624527006e-02 5.750000000000000203e-09
1.394998788743130429e-02 8.450000000000001219e-09
1.450791061327745199e-02 3.790000000000000188e-08
1.506582430665696741e-02 5.190000000000000152e-08
1.562372862047683129e-02 6.590000000000001438e-08
