# Angle, Current
-1.831691674280104196e-02 9.999899999999998905e-06
-1.777829912695057246e-02 1.099989999999999949e-05
-1.723967119452969599e-02 9.999899999999998905e-06
-1.670103325778433609e-02 6.999899999999999676e-06
-1.616238562899522183e-02 3.999899999999999600e-06
-1.562372862047683129e-02 2.999900000000000280e-06
-1.508506254457628662e-02 5.999899999999999933e-06
-1.454638771367227322e-02 1.399989999999999957e-05
-1.400770444017395040e-02 2.399990000000000039e-05
-1.346901303651987930e-02 3.699989999999999789e-05
-1.293031381517691612e-02 4.499989999999999584e-05
-1.239160708863914183e-02 4.599989999999999982e-05
-1.185289316942676752e-02 3.899989999999999907e-05
-1.131417237008504675e-02 2.599989999999999818e-05
-1.077544500318319484e-02 1.399989999999999957e-05
-1.023671138131329421e-02 9.999899999999998905e-06
-9.697971817089206734e-03 1.899989999999999744e-05
-9.159226623145494753e-03 4.399989999999999864e-05
-8.620476112136321242e-03 7.299990000000000558e-05
-8.081720596734370821e-03 7.999990000000001310e-05
-7.542960389629752536e-03 9.499990000000001179e-05
-7.004195803528920003e-03 7.999990000000001310e-05
-6.465427151153579390e-03 7.399990000000000278e-05
-5.926654745239595679e-03 3.199989999999999833e-05
-5.387878898535910198e-03 1.699989999999999965e-05
-4.849099923803452082e-03 6.799990000000000602e-05
-4.310318133814042794e-03 1.899999000000000035e-04
-3.771533841349311925e-03 4.699999000000000603e-04
-3.232747359199602578e-03 5.999999000000000218e-04
-2.693959000162890211e-03 1.199999900000000078e-03
-2.155169077043688017e-03 1.699999900000000088e-03
-1.616377902651952103e-03 2.199999900000000098e-03
-1.077585789802003573e-03 2.599999900000000280e-03
-5.387930513114300157e-04 2.899999900000000200e-03
0.000000000000000000e+00 2.999999900000000028e-03
5.595158567323854594e-04 2.799999899999999937e-03
1.119031363143166945e-03 2.399999900000000189e-03
1.678546168912056378e-03 1.799999900000000133e-03
2.238059923721397691e-03 1.299999900000000123e-03
2.797572277257483805e-03 7.999999000000000042e-04
3.357082879211870357e-03 3.999999000000000393e-04
3.916591379282693443e-03 5.899998999999999955e-04
4.476097427175985619e-03 2.599999000000000515e-04
5.035600672606991256e-03 7.999990000000001310e-05
5.595100765301480594e-03 2.399990000000000039e-05
6.154597354997067699e-03 1.799990000000000024e-05
6.714090091444525378e-03 4.599989999999999982e-05
7.273578624409100975e-03 7.799990000000000514e-05
7.833062603671827814e-03 9.599990000000000899e-05
8.392541679030847065e-03 9.399990000000000103e-05
8.952015500302716589e-03 7.199990000000000838e-05
9.511483717323729326e-03 4.699989999999999702e-05
1.007094597995122735e-02 2.299989999999999980e-05
1.063040193806491333e-02 9.999899999999998905e-06
1.118985124156816544e-02 7.999899999999999419e-06
1.174929354038935572e-02 1.199990000000000008e-05
1.230872848448316334e-02 1.899989999999999744e-05
1.286815572383188076e-02 2.399990000000000039e-05
1.342757490844673045e-02 2.399990000000000039e-05
1.398698568836918670e-02 2.099989999999999862e-05
1.454638771367227149e-02 1.399989999999999957e-05
