# Angle, Current
-6.465427151153577655e-03 1.199999000000000231e-04
-6.196041397842400739e-03 1.499999000000000070e-04
-5.926654745239593944e-03 1.499999000000000070e-04
-5.657267232439175224e-03 1.999999000000000026e-04
-5.387878898535909331e-03 3.299999000000000725e-04
-5.118489782625281793e-03 4.299999000000000638e-04
-4.849099923803452082e-03 4.199999000000000375e-04
-4.579709361167231922e-03 3.999999000000000393e-04
-4.310318133814042794e-03 5.199999000000000288e-04
-4.040926280841886445e-03 7.399999000000000637e-04
-3.771533841349310190e-03 8.499999000000000270e-04
-3.502140854435370921e-03 7.799999000000000602e-04
-3.232747359199601711e-03 7.399999000000000637e-04
-2.963353394741979722e-03 9.399999000000000462e-04
-2.693959000162889778e-03 3.524999000000000231e-04
-2.424564214563091832e-03 3.749999000000000279e-04
-2.155169077043686283e-03 3.224999000000000528e-04
-1.885773626706079053e-03 3.074999000000000135e-04
-1.616377902651950369e-03 3.899999000000000130e-04
-1.346981943983218116e-03 4.724999000000000126e-04
-1.077585789802002706e-03 4.649999000000000471e-04
-8.081894792105970499e-04 3.899999000000000130e-04
-5.387930513114304494e-04 3.749999000000000279e-04
-2.693965452070313572e-04 4.499999000000000078e-04
0.000000000000000000e+00 5.399998999999999728e-04
2.797579502613083873e-04 4.949998999999999632e-04
5.595158567323854594e-04 3.899999000000000130e-04
8.392736756230409923e-04 4.649999000000000471e-04
1.119031363143166945e-03 5.099999000000000025e-04
1.398788875502778766e-03 4.349999000000000227e-04
1.678546168912056378e-03 3.299999000000000183e-04
1.958303199581385486e-03 3.449999000000000034e-04
2.238059923721397691e-03 3.899999000000000130e-04
2.517816297543014510e-03 3.899999000000000130e-04
2.797572277257483805e-03 3.149999000000000332e-04
3.077327819076425535e-03 8.699999000000000794e-04
3.357082879211870357e-03 8.799998999999999972e-04
3.636837413876300822e-03 9.799999000000001511e-04
3.916591379282693443e-03 9.199998999999999937e-04
4.196344731644560330e-03 6.799999000000000147e-04
4.476097427175985619e-03 5.099999000000000025e-04
4.755849422091675341e-03 5.199999000000000288e-04
5.035600672606991256e-03 5.599999000000000253e-04
5.315351134937993348e-03 4.599999000000000340e-04
5.595100765301480594e-03 2.999999000000000480e-04
5.874849519915036934e-03 2.199999000000000008e-04
6.154597354997067699e-03 7.349990000000000418e-05
6.434344226766839508e-03 7.349990000000000418e-05
6.714090091444525378e-03 8.399990000000001546e-05
6.993834905251243746e-03 3.149989999999999973e-05
7.273578624409100975e-03 1.949989999999999943e-05
