Zählrohrwinkel	Rate bei 35kV
2*theta/°	R(35kV)/Imp/s

0,0	370,0
0,4	389,0
0,8	407,0
1,2	6110,0
1,6	4235,0
2,0	3741,0
2,4	3488,0
2,8	3719,0
3,2	4202,0
3,6	4526,0
4,0	8013,0
4,4	3561,0
4,8	3004,0
5,2	2627,0
5,6	2188,0
6,0	1604,0
6,4	993,0
6,8	491,0
7,2	160,0
7,6	85,0
8,0	79,0
8,4	67,0
8,8	66,0
9,2	62,0
9,6	57,0
10,0	44,0
10,4	42,0
10,8	41,0
11,2	40,0
11,6	42,0
12,0	42,0
12,4	43,0
12,8	47,0
13,2	45,0
13,6	46,0
14,0	59,0
14,4	61,0
14,8	68,0
15,2	74,0
15,6	82,0
16,0	87,0
16,4	99,0
16,7	106,0
17,2	111,0
17,6	113,0
18,0	118,0
18,4	127,0
18,8	137,0
19,2	142,0
19,6	137,0
20,0	159,0
