#Z�hlrohrwinkel	Rate bei 35kV
#2*theta/�	R(35kV)/Imp/s

8.0	76.0
8.4	69.0
8.8	62.0
9.2	52.0
9.6	46.0
10.0	50.0
10.4	39.0
10.8	38.0
11.2	40.0
11.6	41.0
12.0	44.0
12.4	43.0
12.8	41.0
13.2	47.0
13.6	46.0
14.0	61.0
14.4	60.0
14.8	64.0
15.2	77.0
15.6	79.0
16.0	82.0
16.4	91.0
16.7	98.0
17.2	101.0
17.6	107.0
18.0	111.0
18.4	119.0
18.8	129.0
19.2	135.0
19.6	152.0
20.0	145.0
20.4	163.0
20.8	159.0
21.2	172.0
21.6	167.0
22.0	194.0
22.4	190.0
22.8	194.0
23.2	194.0
23.6	191.0
24.0	204.0
24.4	215.0
24.8	232.0
25.2	244.0
25.6	234.0
26.0	242.0
26.4	249.0
26.8	249.0
27.2	256.0
27.6	259.0
28.0	255.0
28.4	271.0
28.8	234.0
29.2	215.0
29.6	211.0
30.0	227.0
30.4	218.0
30.8	220.0
31.2	222.0
31.6	222.0
32.0	215.0
32.4	228.0
32.8	232.0
33.2	216.0
33.6	232.0
34.0	219.0
34.4	206.0
34.8	210.0
35.2	201.0
35.5	209.0
36.0	190.0
36.4	189.0
36.8	189.0
37.2	180.0
37.5	186.0
38.0	177.0
38.4	165.0
38.8	170.0
39.2	167.0
39.5	169.0
40.0	170.0
40.4	169.0
40.8	165.0
41.2	151.0
41.5	160.0
42.0	242.0
42.4	1789.0
42.8	1919.0
43.2	529.0
43.6	265.0
44.0	215.0
44.4	207.0
44.8	191.0
45.2	195.0
45.5	188.0
46.0	223.0
46.4	314.0
46.8	3531.0
47.2	6268.0
47.6	5811.0
48.0	324.0
48.4	185.0
48.8	155.0
49.2	141.0
49.6	131.0
50.0	126.0
50.4	116.0
50.8	118.0
51.2	115.0
51.6	102.0
52.0	96.0
