#Z�hlrohrwinkel	Rate bei 35kV
#2*theta/�	R(35kV)/Imp/s

28.0	30.0
28.2	32.0
28.4	30.0
28.6	29.0
28.8	30.0
29.0	28.0
29.2	27.0
29.4	26.0
29.6	27.0
29.8	27.0
30.0	23.0
30.2	25.0
30.4	24.0
30.6	25.0
30.8	26.0
31.0	23.0
31.2	24.0
31.4	22.0
31.6	25.0
31.8	22.0
32.0	22.0
32.2	21.0
32.4	18.0
32.5	21.0
32.8	20.0
33.0	20.0
33.2	18.0
33.4	21.0
33.6	19.0
33.8	21.0
34.0	20.0
34.2	21.0
34.4	27.0
34.5	33.0
34.8	43.0
35.0	48.0
35.2	49.0
35.4	48.0
35.5	48.0
35.8	43.0
36.0	46.0
36.2	46.0
36.4	44.0
36.5	40.0
36.8	38.0
37.0	39.0
37.2	38.0
37.4	36.0
37.5	35.0
37.8	34.0
38.0	34.0
38.2	35.0
38.4	33.0
38.6	30.0
38.8	29.0
39.0	28.0
39.2	29.0
39.4	29.0
39.5	27.0
39.8	27.0
40.0	25.0
