#Z�hlrohrwinkel	Rate bei 35kV
#2*theta/�	R(35kV)/Imp/s

17.0	51.0
17.2	62.0
17.4	63.0
17.6	63.0
17.7	67.0
18.0	63.0
18.2	66.0
18.4	69.0
18.6	74.0
18.8	74.0
19.0	72.0
19.2	74.0
19.4	76.0
19.6	79.0
19.8	77.0
20.0	74.0
20.2	82.0
20.4	78.0
20.6	76.0
20.8	76.0
21.0	80.0
21.2	79.0
21.4	79.0
21.6	80.0
21.7	86.0
22.0	106.0
22.2	121.0
22.4	145.0
22.6	149.0
22.8	146.0
23.0	152.0
23.2	147.0
23.4	152.0
23.6	158.0
23.8	156.0
24.0	159.0
24.2	162.0
24.4	161.0
24.6	162.0
24.8	169.0
25.0	176.0
25.2	171.0
25.4	169.0
25.6	0.0
25.8	165.0
26.0	169.0
26.2	169.0
26.4	169.0
26.6	175.0
26.8	170.0
27.0	174.0
