# t_oben[µs], t_unten[µs]
3.825000000000000000e+01 8.750000000000000000e+00
2.500000000000000000e+00 4.975000000000000000e+01
8.250000000000000000e+00 4.350000000000000000e+01
1.400000000000000000e+01 3.775000000000000000e+01
1.975000000000000000e+01 3.175000000000000000e+01
2.600000000000000000e+01 2.600000000000000000e+01
3.125000000000000000e+01 1.950000000000000000e+01
3.675000000000000000e+01 1.350000000000000000e+01
4.225000000000000000e+01 7.250000000000000000e+00
1.025000000000000000e+01 4.225000000000000000e+01
1.200000000000000000e+01 4.075000000000000000e+01
